scenario,round,client_id,class,precision,recall,f1
Non-IID,15,7,4,1.0,0.6,0.7499999999999999
Non-IID,15,7,5,0.8181818181818182,0.9,0.8571428571428572
Non-IID,15,7,6,0.8181818181818182,0.9,0.8571428571428572
Non-IID,15,7,7,0.9090909090909091,1.0,0.9523809523809523
Non-IID,15,7,8,1.0,0.4,0.5714285714285715
Non-IID,15,7,9,0.7692307692307693,1.0,0.8695652173913044
Non-IID,15,4,0,1.0,1.0,1.0
Non-IID,15,4,1,0.7692307692307693,1.0,0.8695652173913044
Non-IID,15,4,2,0.8181818181818182,0.9,0.8571428571428572
Non-IID,15,4,3,0.9,0.9,0.9
Non-IID,15,4,4,1.0,0.6,0.7499999999999999
Non-IID,15,4,5,0.8181818181818182,0.9,0.8571428571428572
Non-IID,15,4,6,0.8181818181818182,0.9,0.8571428571428572
Non-IID,15,4,7,0.9090909090909091,1.0,0.9523809523809523
Non-IID,15,4,8,1.0,0.4,0.5714285714285715
Non-IID,15,4,9,0.7692307692307693,1.0,0.8695652173913044
Non-IID,16,7,0,1.0,0.8,0.888888888888889
Non-IID,16,7,1,1.0,1.0,1.0
Non-IID,16,7,2,1.0,0.8,0.888888888888889
Non-IID,16,7,3,0.8888888888888888,0.8,0.8421052631578948
Non-IID,16,7,4,1.0,0.9,0.9473684210526316
Non-IID,16,7,5,0.8571428571428571,0.6,0.7058823529411764
Non-IID,16,7,6,1.0,0.7,0.8235294117647058
Non-IID,16,7,7,0.8333333333333334,1.0,0.9090909090909091
Non-IID,16,7,8,0.4166666666666667,1.0,0.5882352941176471
Non-IID,16,7,9,1.0,0.6,0.7499999999999999
Non-IID,16,14,0,1.0,0.8,0.888888888888889
Non-IID,16,14,1,1.0,1.0,1.0
Non-IID,16,14,2,1.0,0.8,0.888888888888889
Non-IID,16,14,3,0.8888888888888888,0.8,0.8421052631578948
Non-IID,16,14,4,1.0,0.9,0.9473684210526316
Non-IID,16,14,5,0.8571428571428571,0.6,0.7058823529411764
Non-IID,16,14,6,1.0,0.7,0.8235294117647058
Non-IID,16,14,7,0.8333333333333334,1.0,0.9090909090909091
Non-IID,16,14,8,0.4166666666666667,1.0,0.5882352941176471
Non-IID,16,14,9,1.0,0.6,0.7499999999999999
Non-IID,17,9,0,1.0,0.8,0.888888888888889
Non-IID,17,9,1,1.0,0.6,0.7499999999999999
Non-IID,17,9,2,1.0,0.9,0.9473684210526316
Non-IID,17,9,3,0.5555555555555556,1.0,0.7142857142857143
Non-IID,17,9,4,0.6428571428571429,0.9,0.75
Non-IID,17,9,5,0.0,0.0,0.0
Non-IID,17,9,6,0.8333333333333334,1.0,0.9090909090909091
Non-IID,17,9,7,0.625,1.0,0.7692307692307693
Non-IID,17,9,8,0.5882352941176471,1.0,0.7407407407407407
Non-IID,17,9,9,0.0,0.0,0.0
Non-IID,17,1,0,1.0,0.8,0.888888888888889
Non-IID,17,1,1,1.0,0.6,0.7499999999999999
Non-IID,17,1,2,1.0,0.9,0.9473684210526316
Non-IID,17,1,3,0.5555555555555556,1.0,0.7142857142857143
Non-IID,17,1,4,0.6428571428571429,0.9,0.75
Non-IID,17,1,5,0.0,0.0,0.0
Non-IID,17,1,6,0.8333333333333334,1.0,0.9090909090909091
Non-IID,17,1,7,0.625,1.0,0.7692307692307693
Non-IID,17,1,8,0.5882352941176471,1.0,0.7407407407407407
Non-IID,17,1,9,0.0,0.0,0.0
Non-IID,18,11,0,1.0,0.9,0.9473684210526316
Non-IID,18,11,1,1.0,0.9,0.9473684210526316
Non-IID,18,11,2,0.75,0.9,0.8181818181818182
Non-IID,18,11,3,0.875,0.7,0.7777777777777777
Non-IID,18,11,4,1.0,0.6,0.7499999999999999
Non-IID,18,11,5,0.9,0.9,0.9
Non-IID,18,11,6,0.8333333333333334,1.0,0.9090909090909091
Non-IID,18,11,7,0.5882352941176471,1.0,0.7407407407407407
Non-IID,18,11,8,1.0,1.0,1.0
Non-IID,18,11,9,0.8571428571428571,0.6,0.7058823529411764
Non-IID,18,18,0,1.0,0.9,0.9473684210526316
Non-IID,18,18,1,1.0,0.9,0.9473684210526316
Non-IID,18,18,2,0.75,0.9,0.8181818181818182
Non-IID,18,18,3,0.875,0.7,0.7777777777777777
Non-IID,18,18,4,1.0,0.6,0.7499999999999999
Non-IID,18,18,5,0.9,0.9,0.9
Non-IID,18,18,6,0.8333333333333334,1.0,0.9090909090909091
Non-IID,18,18,7,0.5882352941176471,1.0,0.7407407407407407
Non-IID,18,18,8,1.0,1.0,1.0
Non-IID,18,18,9,0.8571428571428571,0.6,0.7058823529411764
Non-IID,19,17,0,1.0,0.8,0.888888888888889
Non-IID,19,17,1,1.0,1.0,1.0
Non-IID,19,17,2,1.0,0.8,0.888888888888889
Non-IID,19,17,3,0.875,0.7,0.7777777777777777
Non-IID,19,17,4,1.0,0.8,0.888888888888889
Non-IID,19,17,5,1.0,0.5,0.6666666666666666
Non-IID,19,17,6,0.8333333333333334,1.0,0.9090909090909091
Non-IID,19,17,7,0.6666666666666666,1.0,0.8
Non-IID,19,17,8,0.4,1.0,0.5714285714285715
Non-IID,19,17,9,1.0,0.1,0.18181818181818182
Non-IID,19,15,0,1.0,0.8,0.888888888888889
Non-IID,19,15,1,1.0,1.0,1.0
Non-IID,19,15,2,1.0,0.8,0.888888888888889
Non-IID,19,15,3,0.875,0.7,0.7777777777777777
Non-IID,19,15,4,1.0,0.8,0.888888888888889
Non-IID,19,15,5,1.0,0.5,0.6666666666666666
Non-IID,19,15,6,0.8333333333333334,1.0,0.9090909090909091
Non-IID,19,15,7,0.6666666666666666,1.0,0.8
Non-IID,19,15,8,0.4,1.0,0.5714285714285715
Non-IID,19,15,9,1.0,0.1,0.18181818181818182
Non-IID,20,5,0,1.0,0.6,0.7499999999999999
Non-IID,20,5,1,1.0,1.0,1.0
Non-IID,20,5,2,1.0,0.7,0.8235294117647058
Non-IID,20,5,3,0.5882352941176471,1.0,0.7407407407407407
Non-IID,20,5,4,0.9,0.9,0.9
Non-IID,20,5,5,0.6428571428571429,0.9,0.75
Non-IID,20,5,6,0.8333333333333334,1.0,0.9090909090909091
Non-IID,20,5,7,0.9090909090909091,1.0,0.9523809523809523
Non-IID,20,5,8,1.0,0.3,0.4615384615384615
Non-IID,20,5,9,0.9,0.9,0.9
Non-IID,20,11,0,1.0,0.6,0.7499999999999999
Non-IID,20,11,1,1.0,1.0,1.0
Non-IID,20,11,2,1.0,0.7,0.8235294117647058
Non-IID,20,11,3,0.5882352941176471,1.0,0.7407407407407407
Non-IID,20,11,4,0.9,0.9,0.9
Non-IID,20,11,5,0.6428571428571429,0.9,0.75
Non-IID,20,11,6,0.8333333333333334,1.0,0.9090909090909091
Non-IID,20,11,7,0.9090909090909091,1.0,0.9523809523809523
Non-IID,20,11,8,1.0,0.3,0.4615384615384615
Non-IID,20,11,9,0.9,0.9,0.9
Non-IID,21,9,0,1.0,0.9,0.9473684210526316
Non-IID,21,9,1,1.0,1.0,1.0
Non-IID,21,9,2,1.0,0.7,0.8235294117647058
Non-IID,21,9,3,0.6666666666666666,1.0,0.8
Non-IID,21,9,4,0.7692307692307693,1.0,0.8695652173913044
Non-IID,21,9,5,1.0,0.8,0.888888888888889
Non-IID,21,9,6,0.8888888888888888,0.8,0.8421052631578948
Non-IID,21,9,7,0.9090909090909091,1.0,0.9523809523809523
